# Montpellier Game ground sidecar generated from CityGML tile
# Format:
# grid minX minZ cellSize width depth fallbackY
# cell ix iz height sampleCount
# Source: local CityGML path omitted
# Mode: citygml_ground_and_low_vertices
grid -125 -125 6 42 42 0
cell 14 11 7.91 39
cell 14 12 7.24 29
cell 14 13 6.92 28
cell 14 14 6.62 36
cell 14 15 5.98 41
cell 14 16 5.8 37
cell 14 17 5.38 18
cell 14 18 5.23 34
cell 14 19 4.91 18
cell 14 2 20.373 13
cell 14 21 4.05 14
cell 14 22 16.438 3
cell 14 23 4.05 20
cell 14 24 3.81 10
cell 14 25 3.81 8
cell 14 30 2.84 5
cell 14 31 2.84 5
cell 14 32 2.84 4
cell 14 39 2.01 13
cell 14 40 2.01 34
cell 14 41 2.01 4
cell 14 7 22.226 3
cell 14 8 9.23 22
cell 14 9 9.23 8
cell 15 0 22.27 65
cell 15 1 30.469 4
cell 15 10 9.68 17
cell 15 11 7.91 23
cell 15 12 16.707 55
cell 15 13 19.167 7
cell 15 14 6.62 58
cell 15 15 5.98 58
cell 15 16 5.98 58
cell 15 17 5.38 30
cell 15 18 5.23 61
cell 15 19 4.57 38
cell 15 2 16 37
cell 15 20 4.05 11
cell 15 21 4.05 24
cell 15 22 16.387 15
cell 15 23 15.678 3
cell 15 3 19.878 4
cell 15 30 2.84 16
cell 15 32 2.84 6
cell 15 36 2.01 20
cell 15 38 2.01 19
cell 15 4 13.17 12
cell 15 5 12.46 10
cell 15 6 12.46 29
cell 15 7 9.23 10
cell 15 8 9.68 28
cell 15 9 9.68 11
cell 16 0 27.058 7
cell 16 1 19.34 16
cell 16 10 19.239 5
cell 16 11 7.81 8
cell 16 12 7.24 12
cell 16 13 7.21 23
cell 16 14 6.81 19
cell 16 15 6.19 17
cell 16 16 6.19 4
cell 16 17 5.38 6
cell 16 18 5.38 37
cell 16 19 5.02 25
cell 16 2 19.34 7
cell 16 20 4.55 26
cell 16 21 4.5 28
cell 16 22 4.5 20
cell 16 24 22.589 7
cell 16 25 23.427 1
cell 16 26 4.17 10
cell 16 34 2.19 5
cell 16 36 2.01 2
cell 16 39 10.732 6
cell 16 40 10.807 1
cell 16 5 13.17 8
cell 16 6 13.17 8
cell 16 8 10.29 9
cell 16 9 8.71 31
cell 17 0 19.34 4
cell 17 1 31.231 6
cell 17 11 7.81 16
cell 17 12 6.61 41
cell 17 13 6.61 2
cell 17 14 6.61 13
cell 17 15 6.61 27
cell 17 16 6.12 10
cell 17 17 6.12 9
cell 17 18 6.12 14
cell 17 19 4.55 16
cell 17 2 23.497 15
cell 17 21 4.55 3
cell 17 22 4.5 6
cell 17 30 4.17 7
cell 17 34 0.53 10
cell 17 35 11.831 2
cell 17 36 0.53 17
cell 17 37 0.53 4
cell 17 39 2.01 17
cell 17 4 13.17 8
cell 17 5 13.17 17
cell 17 6 13.17 8
cell 17 7 11.16 40
cell 17 8 10.29 23
cell 17 9 8.71 36
cell 18 0 21.19 18
cell 18 1 21.19 65
cell 18 10 9.11 8
cell 18 12 6.61 21
cell 18 13 21.276 20
cell 18 14 6.61 40
cell 18 15 6.61 15
cell 18 16 6.61 9
cell 18 2 19.34 41
cell 18 21 4.5 8
cell 18 22 4.5 5
cell 18 25 4.17 4
cell 18 3 19.34 12
cell 18 32 22.592 7
cell 18 35 11.595 10
cell 18 37 0.53 30
cell 18 38 7.241 14
cell 18 39 2.01 12
cell 18 40 2.01 4
cell 18 5 13.17 8
cell 18 6 13.17 24
cell 18 7 12.12 37
cell 18 8 12.12 33
cell 18 9 12.12 51
cell 19 0 27.771 50
cell 19 1 32.77 32
cell 19 10 9.11 7
cell 19 12 6.61 34
cell 19 13 20.87 20
cell 19 14 21.08 4
cell 19 15 20.796 31
cell 19 23 4.17 14
cell 19 25 4.17 10
cell 19 29 4.17 4
cell 19 3 21.19 10
cell 19 32 22.71 4
cell 19 35 0.53 20
cell 19 37 0.53 4
cell 19 38 0.53 20
cell 19 39 5.685 28
cell 19 4 21.19 8
cell 19 40 4.681 10
cell 19 5 13.17 8
cell 19 6 17.69 34
cell 19 7 13.76 66
cell 19 8 12.95 25
cell 19 9 11.69 10
cell 2 1 17.43 19
cell 2 16 6.49 12
cell 2 17 6.44 6
cell 2 18 17.454 11
cell 2 19 19.756 11
cell 2 2 34.939 3
cell 2 20 20.289 11
cell 2 25 6.44 4
cell 2 27 2.25 6
cell 2 28 25.045 10
cell 2 29 7.954 24
cell 2 3 17.07 18
cell 2 30 6.458 6
cell 2 31 7.401 18
cell 2 32 24.514 19
cell 2 35 27.058 40
cell 2 36 2.25 14
cell 2 37 2.25 17
cell 2 4 17.43 53
cell 2 40 2.26 15
cell 2 41 2.16 5
cell 2 5 12.9 13
cell 2 6 12.77 23
cell 2 7 12.77 10
cell 2 8 10.24 11
cell 2 9 10.24 20
cell 20 0 21.19 84
cell 20 1 21.19 27
cell 20 10 9.11 9
cell 20 11 9.11 36
cell 20 12 6.61 9
cell 20 14 22.37 10
cell 20 15 6.61 25
cell 20 2 34.314 19
cell 20 29 4.17 10
cell 20 3 32.686 22
cell 20 31 4.17 14
cell 20 33 0.53 5
cell 20 35 0.53 12
cell 20 36 0.53 23
cell 20 37 0.53 8
cell 20 39 5.58 12
cell 20 4 20.805 19
cell 20 40 5.248 65
cell 20 41 4.681 78
cell 20 5 14.42 8
cell 20 6 14.42 4
cell 20 7 13.76 5
cell 20 8 12.95 32
cell 20 9 11.69 51
cell 21 0 21.19 11
cell 21 10 18.212 48
cell 21 11 9.26 40
cell 21 12 9.26 16
cell 21 13 9.26 17
cell 21 14 6.61 8
cell 21 15 6.61 13
cell 21 3 20.8 68
cell 21 34 0.61 8
cell 21 35 0.53 31
cell 21 36 0.53 8
cell 21 37 0.53 9
cell 21 38 0.53 4
cell 21 40 4.681 42
cell 21 41 4.681 17
cell 21 9 10.58 19
cell 22 0 31.949 90
cell 22 10 9.72 9
cell 22 11 9.26 8
cell 22 12 9.26 24
cell 22 13 9.26 11
cell 22 14 9.26 21
cell 22 15 7.02 4
cell 22 16 6.8 27
cell 22 17 6.37 8
cell 22 2 32.715 14
cell 22 3 14.77 93
cell 22 35 19.376 9
cell 22 36 19.582 151
cell 22 37 0.61 17
cell 22 38 0.61 13
cell 22 40 0.53 18
cell 22 41 0.53 9
cell 22 9 9.72 40
cell 23 0 17.45 12
cell 23 1 21.19 4
cell 23 10 7.86 19
cell 23 11 9.26 27
cell 23 12 7.86 42
cell 23 13 7.86 37
cell 23 15 7.02 13
cell 23 16 6.8 17
cell 23 17 6.8 43
cell 23 18 5.85 13
cell 23 19 5.85 8
cell 23 2 14.77 113
cell 23 20 4.17 8
cell 23 22 22.501 16
cell 23 23 4.17 5
cell 23 3 14.77 22
cell 23 34 0.61 8
cell 23 35 19.557 30
cell 23 36 19.6 276
cell 23 37 19.075 3
cell 24 0 31.728 37
cell 24 10 7.86 21
cell 24 11 7.86 19
cell 24 12 7.86 26
cell 24 13 7.86 6
cell 24 14 7.32 26
cell 24 15 7.23 24
cell 24 16 6.8 23
cell 24 17 6.37 38
cell 24 18 5.93 37
cell 24 19 5.93 18
cell 24 2 13.12 45
cell 24 20 4.17 8
cell 24 21 22.412 3
cell 24 22 18.532 18
cell 24 3 13.12 36
cell 24 35 19.645 3
cell 24 36 19.573 12
cell 24 4 13.12 4
cell 24 5 13.12 4
cell 25 0 29.991 8
cell 25 1 13.12 22
cell 25 11 7.89 12
cell 25 12 22.637 2
cell 25 14 7.36 16
cell 25 15 7.23 10
cell 25 16 7.23 68
cell 25 17 6.72 83
cell 25 18 5.93 26
cell 25 2 13.12 33
cell 25 21 20.284 5
cell 25 22 22.412 1
cell 25 23 20.674 12
cell 25 24 20.349 30
cell 25 29 4.17 9
cell 25 3 29.08 9
cell 25 30 22.62 27
cell 25 35 19.643 3
cell 25 36 19.574 6
cell 25 4 13.12 13
cell 25 5 13.12 12
cell 25 6 13.12 4
cell 25 9 8.94 38
cell 26 0 16.7 14
cell 26 1 29.509 67
cell 26 10 8.55 11
cell 26 11 8.26 11
cell 26 12 7.89 38
cell 26 13 7.89 5
cell 26 14 7.36 5
cell 26 15 24.998 11
cell 26 16 6.72 38
cell 26 17 6.28 39
cell 26 18 5.93 21
cell 26 2 13.12 86
cell 26 21 20.906 1
cell 26 22 8.889 9
cell 26 23 19.968 12
cell 26 25 20.166 28
cell 26 29 18.434 22
cell 26 3 13.12 15
cell 26 30 21.045 111
cell 26 31 4.17 6
cell 26 34 19.525 9
cell 26 35 19.53 21
cell 26 36 16.275 24
cell 26 5 30.892 1
cell 26 6 13.12 8
cell 26 7 9.72 8
cell 26 8 9.72 20
cell 26 9 8.94 19
cell 27 0 17.45 28
cell 27 1 16.7 57
cell 27 10 8.94 13
cell 27 11 8.26 23
cell 27 12 8.13 13
cell 27 13 8.13 4
cell 27 14 7.66 4
cell 27 15 7.36 25
cell 27 16 7.12 48
cell 27 17 6.28 38
cell 27 18 6.28 32
cell 27 2 13.12 32
cell 27 20 20.417 9
cell 27 21 20.863 3
cell 27 23 4.17 4
cell 27 25 4.17 4
cell 27 26 4.17 2
cell 27 29 20.676 43
cell 27 3 13.12 14
cell 27 30 20.16 20
cell 27 35 19.257 2
cell 27 36 0.61 15
cell 27 37 0.61 17
cell 27 38 0.61 14
cell 27 4 13.1 27
cell 27 5 13.12 7
cell 27 6 12.08 9
cell 27 8 9.72 43
cell 27 9 10.07 24
cell 28 0 16.7 4
cell 28 1 16.16 16
cell 28 10 8.31 15
cell 28 11 8.31 7
cell 28 12 8.13 17
cell 28 13 7.66 16
cell 28 14 7.65 4
cell 28 15 7.65 78
cell 28 16 7.12 48
cell 28 17 6.82 33
cell 28 18 6.82 6
cell 28 2 13.12 10
cell 28 27 4.17 4
cell 28 28 4.17 4
cell 28 29 8.967 5
cell 28 3 14.2 20
cell 28 30 19.358 16
cell 28 35 19.257 2
cell 28 37 19.35 24
cell 28 38 14.769 2
cell 28 4 13.1 26
cell 28 6 24.644 48
cell 28 7 11.8 41
cell 28 8 10.17 8
cell 28 9 10.07 20
cell 29 0 13.92 8
cell 29 1 13.92 4
cell 29 10 9.92 14
cell 29 11 8.31 20
cell 29 12 8.31 10
cell 29 13 7.65 8
cell 29 14 7.65 21
cell 29 15 17.61 25
cell 29 16 6.9 51
cell 29 17 6.82 51
cell 29 2 13.12 8
cell 29 20 20.408 12
cell 29 3 14.2 28
cell 29 34 19.578 12
cell 29 36 0.61 26
cell 29 37 12.166 28
cell 29 6 11.8 3
cell 29 7 11.8 22
cell 29 8 10.17 19
cell 29 9 23.554 29
cell 3 13 6.89 8
cell 3 16 6.49 12
cell 3 18 16.708 19
cell 3 19 6.44 34
cell 3 2 17.07 34
cell 3 20 20.422 12
cell 3 21 15.741 5
cell 3 22 6.44 5
cell 3 25 6.44 2
cell 3 27 2.25 13
cell 3 28 3.29 11
cell 3 29 2.25 20
cell 3 3 16.7 9
cell 3 30 6.458 47
cell 3 31 5.743 51
cell 3 32 2.25 7
cell 3 35 24.974 27
cell 3 36 24.974 16
cell 3 39 2.36 8
cell 3 4 12.9 62
cell 3 40 2.36 8
cell 3 41 2.16 4
cell 3 5 24.345 8
cell 3 6 12.19 37
cell 3 7 12.19 16
cell 3 8 10.24 5
cell 3 9 10.24 15
cell 30 0 13.92 12
cell 30 1 20.482 4
cell 30 10 9.92 54
cell 30 11 9.92 49
cell 30 13 8.37 13
cell 30 14 8.37 61
cell 30 15 7.65 33
cell 30 16 6.9 22
cell 30 18 4.17 11
cell 30 19 20.457 1
cell 30 2 13.92 11
cell 30 20 20.922 2
cell 30 21 8.858 3
cell 30 3 13.31 8
cell 30 34 19.583 12
cell 30 4 12.18 12
cell 30 41 12.079 9
cell 30 5 12.08 5
cell 30 6 11.8 26
cell 30 7 11.8 8
cell 30 8 10.17 15
cell 30 9 24.01 21
cell 31 0 20.482 12
cell 31 1 20.482 30
cell 31 10 9.92 6
cell 31 11 8.48 8
cell 31 13 8.4 24
cell 31 14 8.4 33
cell 31 15 6.9 97
cell 31 16 6.9 23
cell 31 19 20.57 5
cell 31 2 33.054 1
cell 31 21 18.489 12
cell 31 22 4.17 4
cell 31 3 13.31 16
cell 31 31 0.61 26
cell 31 32 0.61 33
cell 31 33 19.659 1424
cell 31 34 19.425 12
cell 31 35 0.61 8
cell 31 6 11.15 12
cell 31 7 10.17 8
cell 32 0 27.354 9
cell 32 1 32.069 12
cell 32 11 8.48 8
cell 32 12 8.4 9
cell 32 14 8.4 16
cell 32 15 8.05 16
cell 32 16 23.537 4
cell 32 18 4.17 14
cell 32 19 20.557 5
cell 32 2 13.31 12
cell 32 21 21.043 12
cell 32 27 4.17 4
cell 32 28 8.967 9
cell 32 3 13.31 49
cell 32 33 0.61 2
cell 32 34 3.36 8
cell 32 35 0.61 28
cell 32 36 0.61 10
cell 32 4 12.18 9
cell 32 5 12.18 2
cell 32 6 11.15 6
cell 32 7 10.8 16
cell 32 8 10.05 8
cell 32 9 9.92 11
cell 33 0 13.92 36
cell 33 1 13.92 15
cell 33 11 8.64 12
cell 33 12 8.64 5
cell 33 14 7.9 4
cell 33 16 6.9 29
cell 33 18 4.17 53
cell 33 19 4.17 16
cell 33 2 13.31 31
cell 33 23 21.134 4
cell 33 24 21.149 8
cell 33 25 21.163 6
cell 33 28 19.324 12
cell 33 3 12.18 27
cell 33 30 2.93 8
cell 33 31 2.93 8
cell 33 32 2.93 8
cell 33 33 3.25 4
cell 33 34 3.25 4
cell 33 35 3.36 4
cell 33 36 0.61 14
cell 33 4 12.18 12
cell 33 41 0.01 6
cell 33 5 11.15 6
cell 33 6 10.8 24
cell 33 7 10.8 42
cell 33 8 10.8 4
cell 33 9 9.32 15
cell 34 0 13.92 13
cell 34 1 13.92 13
cell 34 10 8.64 20
cell 34 11 24.395 4
cell 34 13 8.24 8
cell 34 14 7.9 37
cell 34 15 7.15 10
cell 34 16 7.15 6
cell 34 17 6.43 8
cell 34 19 4.17 4
cell 34 2 12.11 28
cell 34 20 4.17 19
cell 34 22 4.17 7
cell 34 23 4.17 2
cell 34 27 21.403 15
cell 34 28 21.106 19
cell 34 3 12.11 25
cell 34 31 2.35 10
cell 34 33 2.35 26
cell 34 34 3.25 22
cell 34 35 0.61 3
cell 34 36 0.61 5
cell 34 37 0.61 8
cell 34 39 19.035 58
cell 34 4 11.15 51
cell 34 40 19.009 171
cell 34 5 11.15 18
cell 34 6 10.8 16
cell 34 7 10.05 25
cell 34 9 9.32 46
cell 35 1 13.92 37
cell 35 10 8.64 32
cell 35 11 24.394 2
cell 35 14 7.9 35
cell 35 15 23.001 1
cell 35 16 16.832 16
cell 35 17 6.43 17
cell 35 19 5.81 10
cell 35 2 12.11 4
cell 35 21 5.01 15
cell 35 24 4.17 6
cell 35 27 4.17 11
cell 35 3 11.15 11
cell 35 30 2.93 4
cell 35 31 2.91 88
cell 35 33 1.65 4
cell 35 35 0.61 13
cell 35 36 0.61 11
cell 35 37 0.61 4
cell 35 38 0.61 6
cell 35 4 11.15 21
cell 35 40 0.01 26
cell 35 41 17.032 2
cell 35 5 11.15 27
cell 35 6 11.15 48
cell 35 7 10.05 27
cell 35 8 10.05 40
cell 35 9 10.05 4
cell 36 1 15.28 8
cell 36 10 10.12 20
cell 36 11 8.64 14
cell 36 12 8.24 9
cell 36 13 7.9 28
cell 36 14 7.9 42
cell 36 15 7.15 18
cell 36 16 6.43 25
cell 36 17 16.832 33
cell 36 18 18.17 3
cell 36 19 5.01 11
cell 36 2 12.11 6
cell 36 23 4.35 8
cell 36 28 4.17 6
cell 36 3 12.11 4
cell 36 30 2.93 43
cell 36 31 2.35 15
cell 36 33 2.35 3
cell 36 34 1.65 15
cell 36 35 0.61 58
cell 36 36 13.047 2
cell 36 38 0.61 19
cell 36 39 0.01 14
cell 36 4 12.11 8
cell 36 40 0.01 27
cell 36 5 11.15 55
cell 36 6 12.11 27
cell 36 7 10.05 22
cell 36 8 10.05 25
cell 36 9 10.12 23
cell 37 0 34.966 14
cell 37 1 15.28 9
cell 37 10 10.36 26
cell 37 11 10.12 21
cell 37 12 10.11 35
cell 37 13 9.06 17
cell 37 14 9.06 10
cell 37 15 8.63 16
cell 37 16 7.15 18
cell 37 17 6.43 5
cell 37 19 21.007 11
cell 37 2 32.264 31
cell 37 20 5.01 24
cell 37 21 19.748 25
cell 37 23 4.35 17
cell 37 26 4.03 8
cell 37 27 3.45 8
cell 37 28 3.45 4
cell 37 29 2.76 4
cell 37 3 12.11 51
cell 37 32 1.65 8
cell 37 35 1.65 26
cell 37 38 12.957 24
cell 37 39 0.01 24
cell 37 5 12.11 14
cell 37 6 25.411 3
cell 37 7 11.48 41
cell 37 8 11.48 26
cell 37 9 10.36 13
cell 38 0 15.28 48
cell 38 1 15.28 9
cell 38 11 10.61 11
cell 38 12 10.61 68
cell 38 13 10.61 54
cell 38 14 9.54 31
cell 38 15 9.24 37
cell 38 16 8.63 6
cell 38 17 8.63 18
cell 38 18 6.78 16
cell 38 19 5.01 9
cell 38 2 31.634 25
cell 38 20 5.01 9
cell 38 21 5.01 22
cell 38 22 4.35 16
cell 38 23 4.35 7
cell 38 24 14.317 49
cell 38 25 4.03 17
cell 38 26 4.03 18
cell 38 27 3.45 11
cell 38 28 2.76 12
cell 38 3 31.452 2
cell 38 31 1.39 8
cell 38 33 1.39 11
cell 38 34 1.39 11
cell 38 38 0.01 8
cell 38 39 0.01 10
cell 38 4 12.11 39
cell 38 5 26.672 3
cell 38 8 10.74 4
cell 39 0 16.99 13
cell 39 1 15.28 12
cell 39 10 10.74 4
cell 39 11 10.88 18
cell 39 12 10.88 22
cell 39 13 10.25 33
cell 39 14 9.54 53
cell 39 15 9.24 12
cell 39 17 8.63 22
cell 39 18 9.4 2
cell 39 19 6.78 12
cell 39 2 12.11 12
cell 39 20 5.01 14
cell 39 21 5.01 4
cell 39 22 4.35 9
cell 39 23 14.06 7
cell 39 24 4.35 32
cell 39 25 4.03 14
cell 39 26 4.03 13
cell 39 28 2.76 7
cell 39 29 2.76 16
cell 39 3 12.11 18
cell 39 30 1.39 19
cell 39 32 15.481 2
cell 39 35 1.39 16
cell 39 38 0.71 16
cell 39 4 30.069 11
cell 39 40 0.01 2
cell 39 41 0.01 4
cell 39 5 12.11 19
cell 4 10 8.99 8
cell 4 11 8.43 8
cell 4 12 7.93 8
cell 4 14 6.89 15
cell 4 15 6.49 8
cell 4 16 6.49 19
cell 4 17 6.44 10
cell 4 18 17.518 12
cell 4 19 6.44 19
cell 4 20 19.64 2
cell 4 21 15.264 10
cell 4 25 6.44 15
cell 4 27 3.29 8
cell 4 29 16.002 20
cell 4 3 12.9 8
cell 4 31 2.25 24
cell 4 32 2.25 14
cell 4 35 26.524 19
cell 4 36 24.974 19
cell 4 39 6.771 8
cell 4 40 2.36 13
cell 4 5 28.424 1
cell 4 6 12.19 48
cell 40 1 33.943 9
cell 40 10 11.92 2
cell 40 11 11.92 4
cell 40 12 10.93 28
cell 40 13 10.41 15
cell 40 14 10.41 44
cell 40 15 9.24 45
cell 40 16 9.24 21
cell 40 17 9.4 8
cell 40 18 10.57 22
cell 40 19 8.23 33
cell 40 2 12.11 7
cell 40 21 4.35 16
cell 40 22 4.35 28
cell 40 23 14.06 3
cell 40 25 6.83 30
cell 40 26 5.6 7
cell 40 27 5.6 19
cell 40 28 5.79 4
cell 40 29 3.67 17
cell 40 30 3.67 4
cell 40 31 1.39 15
cell 40 32 1.39 8
cell 40 34 16.166 1
cell 40 35 0.71 8
cell 40 36 15.315 4
cell 40 38 0 5
cell 40 4 14.37 16
cell 40 40 0 5
cell 40 5 14.37 12
cell 40 6 14.37 15
cell 41 0 16.99 4
cell 41 1 34.796 2
cell 41 10 11.92 6
cell 41 12 11.92 5
cell 41 13 11.99 17
cell 41 14 11.48 19
cell 41 15 10.64 17
cell 41 16 11.02 48
cell 41 17 10.57 52
cell 41 18 10.57 19
cell 41 19 12.61 19
cell 41 2 12.11 20
cell 41 20 10.89 13
cell 41 21 8.23 19
cell 41 22 4.35 3
cell 41 23 4.35 36
cell 41 24 7.76 7
cell 41 25 6.83 22
cell 41 26 6.01 30
cell 41 27 5.79 7
cell 41 28 3.67 10
cell 41 29 3.67 38
cell 41 30 3.67 3
cell 41 31 1.39 12
cell 41 34 0.71 8
cell 41 35 0.71 11
cell 41 36 17.055 9
cell 41 37 0 24
cell 41 38 0 15
cell 41 4 32.945 6
cell 41 5 31.885 21
cell 41 6 14.37 5
cell 41 7 14.37 11
cell 5 10 8.99 14
cell 5 11 8.43 13
cell 5 12 7.93 28
cell 5 13 7.33 36
cell 5 14 6.89 17
cell 5 15 6.19 30
cell 5 16 6.49 8
cell 5 18 6.44 4
cell 5 19 20.198 26
cell 5 27 3.29 4
cell 5 38 2.36 24
cell 5 39 2.36 21
cell 5 4 12.9 19
cell 5 5 12.9 11
cell 5 6 12.19 60
cell 5 8 10.26 5
cell 5 9 9.8 14
cell 6 10 9.8 24
cell 6 11 8.43 25
cell 6 12 7.97 7
cell 6 13 7.97 46
cell 6 14 6.19 41
cell 6 15 6.19 40
cell 6 16 6.19 9
cell 6 17 6.19 8
cell 6 18 6.44 14
cell 6 19 20.877 18
cell 6 26 3.29 21
cell 6 27 16.484 8
cell 6 35 26.522 62
cell 6 36 24.974 22
cell 6 40 2.36 11
cell 6 41 2.36 14
cell 6 5 12.9 4
cell 6 6 11.25 25
cell 6 7 11.25 5
cell 6 8 10.26 5
cell 6 9 9.8 10
cell 7 10 8.7 12
cell 7 11 8.28 38
cell 7 12 8.28 20
cell 7 13 7.33 28
cell 7 14 7.33 9
cell 7 15 6.19 19
cell 7 16 6.19 14
cell 7 18 6.44 2
cell 7 20 15.331 1
cell 7 21 6.44 4
cell 7 22 6.44 10
cell 7 35 26.522 13
cell 7 4 13.18 18
cell 7 41 2.36 4
cell 7 5 12.58 13
cell 7 6 11.25 20
cell 7 8 10.32 6
cell 7 9 9.52 10
cell 8 10 8.7 25
cell 8 11 8.28 23
cell 8 12 7.54 24
cell 8 13 23.727 7
cell 8 14 7.12 67
cell 8 15 6.18 8
cell 8 16 6.19 12
cell 8 17 6.18 12
cell 8 18 5.11 8
cell 8 22 6.44 10
cell 8 26 3.29 28
cell 8 28 3.29 4
cell 8 3 15.82 6
cell 8 33 2.25 32
cell 8 34 24.974 31
cell 8 35 26.519 67
cell 8 4 13.18 20
cell 8 5 13.18 24
cell 8 6 11.25 34
cell 8 8 10.32 9
cell 8 9 9.52 18
cell 9 10 8.7 35
cell 9 12 8.28 34
cell 9 14 7.54 63
cell 9 15 6.15 14
cell 9 16 6.15 9
cell 9 17 6.15 25
cell 9 19 19.224 20
cell 9 2 15.82 4
cell 9 20 4.27 10
cell 9 21 4.27 26
cell 9 22 4.27 18
cell 9 25 3.29 6
cell 9 27 3.35 5
cell 9 28 3.35 5
cell 9 3 15.82 7
cell 9 34 26.537 53
cell 9 35 24.974 13
cell 9 37 2.51 13
cell 9 38 2.71 4
cell 9 39 2.71 4
cell 9 5 15.82 4
cell 9 7 11.25 8
cell 9 8 9.37 10
cell 9 9 9.52 22
